first_character,second_character,season,relative_pairity
Agency Guy,Chandler Bing,10,0.0136986301369863
Agency Guy,Erica,10,0.0136986301369863
Agency Guy,Monica Geller,10,0.0136986301369863
Alice Knight,Chandler Bing,3,0.0028735632183908046
Alice Knight,Chandler Bing,4,0.005934718100890208
Alice Knight,Chandler Bing,5,0.003215434083601286
Alice Knight,Dr. Harad,5,0.003215434083601286
Alice Knight,Frank Buffay Jr.,3,0.005747126436781609
Alice Knight,Frank Buffay Jr.,4,0.01483679525222552
Alice Knight,Frank Buffay Jr.,5,0.003215434083601286
Alice Knight,Joey Tribbiani,3,0.0028735632183908046
Alice Knight,Joey Tribbiani,4,0.005934718100890208
Alice Knight,Monica Geller,3,0.0028735632183908046
Alice Knight,Monica Geller,4,0.005934718100890208
Alice Knight,Monica Geller,5,0.003215434083601286
Alice Knight,Phoebe Abbott,4,0.002967359050445104
Alice Knight,Phoebe Buffay,3,0.008620689655172414
Alice Knight,Phoebe Buffay,4,0.017804154302670624
Alice Knight,Phoebe Buffay,5,0.003215434083601286
Alice Knight,Rachel Green,3,0.0028735632183908046
Alice Knight,Rachel Green,4,0.005934718100890208
Alice Knight,Rachel Green,5,0.003215434083601286
Alice Knight,Ross Geller,3,0.0028735632183908046
Alice Knight,Ross Geller,4,0.002967359050445104
Allesandro,Monica Geller,4,0.008902077151335312
Allesandro,Phoebe Buffay,4,0.002967359050445104
Amanda Buffamonteezi,Chandler Bing,10,0.0091324200913242
Amanda Buffamonteezi,Joey Tribbiani,10,0.0045662100456621
Amanda Buffamonteezi,Monica Geller,10,0.0182648401826484
Amanda Buffamonteezi,Phoebe Buffay,10,0.0182648401826484
Amanda Buffamonteezi,Rachel Green,10,0.0045662100456621
Amy Green,Chandler Bing,9,0.0033112582781456954
Amy Green,Chandler Bing,10,0.0091324200913242
Amy Green,Charlie Wheeler,10,0.0045662100456621
Amy Green,Joey Tribbiani,9,0.0033112582781456954
Amy Green,Joey Tribbiani,10,0.0228310502283105
Amy Green,Monica Geller,9,0.0033112582781456954
Amy Green,Monica Geller,10,0.0091324200913242
Amy Green,Phoebe Buffay,9,0.0033112582781456954
Amy Green,Phoebe Buffay,10,0.0045662100456621
Amy Green,Rachel Green,9,0.0033112582781456954
Amy Green,Rachel Green,10,0.0365296803652968
Amy Green,Ross Geller,9,0.0033112582781456954
Amy Green,Ross Geller,10,0.0182648401826484
Andrea Waltham,Chandler Bing,4,0.01483679525222552
Andrea Waltham,Chandler Bing,5,0.006430868167202572
Andrea Waltham,Emily Waltham,4,0.008902077151335312
Andrea Waltham,Emily Waltham,5,0.003215434083601286
Andrea Waltham,Jack Geller,4,0.008902077151335312
Andrea Waltham,Jack Geller,5,0.003215434083601286
Andrea Waltham,Joey Tribbiani,4,0.011869436201780416
Andrea Waltham,Joey Tribbiani,5,0.003215434083601286
Andrea Waltham,Judy Geller,4,0.011869436201780416
Andrea Waltham,Judy Geller,5,0.003215434083601286
Andrea Waltham,Minister,4,0.002967359050445104
Andrea Waltham,Monica Geller,4,0.01483679525222552
Andrea Waltham,Monica Geller,5,0.006430868167202572
Andrea Waltham,Phoebe Buffay,4,0.008902077151335312
Andrea Waltham,Phoebe Buffay,5,0.003215434083601286
Andrea Waltham,Rachel Green,4,0.008902077151335312
Andrea Waltham,Rachel Green,5,0.006430868167202572
Andrea Waltham,Ross Geller,4,0.017804154302670624
Andrea Waltham,Ross Geller,5,0.006430868167202572
Andrea Waltham,Stephen Waltham,4,0.01483679525222552
Andrea Waltham,Stephen Waltham,5,0.006430868167202572
Angela Delveccio,Chandler Bing,1,0.003076923076923077
Angela Delveccio,Joey Tribbiani,1,0.009230769230769232
